1,1,2022-04-22,6.70,"Android 12, One UI 4.1",MediaTek MT6877 Dimensity 900 (6 nm),"6/8 GB RAM, 128/256 GB Memori Internal",5000,"Belakang Quad 108 MP + 8 MP + 2 MP + 2 MP, Depan 32 MP",GSM / HSPA / LTE / 5G,5799000,"Green, Blue, Brown"
2,2,2022-04-08,6.60,"Android 12, One UI 4.1",Exynos 1280 (5 nm),"6/8 GB RAM, 128 GB Memori Internal",5000,"Belakang Quad 50 MP + 8 MP + 2 MP + 2 MP, Depan 8 MP",GSM / HSPA / LTE / 5G,3999000,"Green, Blue, Brown"
3,3,2022-04-08,6.60,"Android 12, One UI 4.1",Qualcomm SM7225 Snapdragon 750G 5G (8 nm),"4/6 GB RAM, 128 GB Memori Internal",5000,"Belakang Triple 50 MP + 8 MP + 2 MP, Depan 8 MP",GSM / HSPA / LTE / 5G,9999999,"Deep Green, Light Blue, Orange Copper"
4,4,2022-03-22,11.00,"Android 12, One UI 4.1",Qualcomm SM8450 Snapdragon 8 Gen 1 (4 nm),"8/12 GB RAM, 128/256 GB Memori Internal",8000,"Belakang Dual 13 MP + 6 MP, Depan 12 MP",GSM / HSPA / LTE / 5G,9999000,"Graphite, Silver, Pink Gold"
5,5,2021-10-13,6.40,"Android 11, upgradable to Android 12, One UI 4.1",Mediatek MT6769V/CU Helio G80 (12 nm),"4/6 GB RAM, 64/128 GB Memori Internal",5000,"Belakang Quad 48 MP + 8 MP + 2 MP + 2 MP, Depan 13 MP",GSM / HSPA / LTE,4199000,"Black, White, Light Blue"
6,6,2022-03-31,6.53,"Android 11, MIUI 12.5",MediaTek MT6762G Helio G25 (12 nm),"2/3/4/6 GB RAM, 32/64/128 GB Memori Internal",5000,"Belakang 13 MP, Depan 5 MP",GSM / HSPA / CDMA2000 / LTE,1449000,"Charcoal Black, Sea Blue, Slate Grey"
7,7,2022-03-23,6.71,"Android 11, MIUI 13",Qualcomm SM6225 Snapdragon 680 4G (6 nm),"4 GB RAM, 64/128 GB Memori Internal",5000,"Belakang Dual 50 MP + 2 MP, Depan 5 MP",GSM / HSPA / LTE,1849000,"Graphite Gray, Ocean Blue, Mint Green"
8,8,2022-03-04,6.67,"Android 11, MIUI 13",Qualcomm SM6375 Snapdragon 695 5G (6 nm),"6/8 GB RAM, 128/256 GB Memori Internal",5000,"Belakang Triple 108 MP + 8 MP + 2 MP, Depan 16 MP",GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,3899000,"Graphite Gray, Polar White, Atlantic Blue"
9,9,2022-02-09,6.43,"Android 11, MIUI 13",Mediatek Helio G96 (12 nm),"6/8 GB RAM, 64/128 GB Memori Internal",5000,"Belakang Quad 108 MP + 8 MP + 2 MP + 2 MP, Depan 16 MP",GSM / HSPA / LTE,3599000,"Graphite Gray, Pearl White, Twilight Blue"
10,10,2022-02-09,6.43,"Android 11, MIUI 13",Qualcomm SM6225 Snapdragon 680 4G (6 nm),"4/6 GB RAM, 64/128 GB Memori Internal",5000,"Belakang Quad 50 MP + 8 MP + 2 MP + 2 MP, Depan 13 MP",GSM / HSPA / LTE,2499000,"Graphite Gray, Pearl White, Star Blue"
11,11,2021-09-24,6.70,"iOS 15, upgradable to iOS 15.5",Apple A15 Bionic (5 nm),"6 GB RAM, 128/256/512 GB / 1 TB Memori Internal",4352,"Belakang Quad 12 MP + 12 MP + 12 MP + TOF 3D LiDAR scanner, Depan Dual 12 MP + SL 3D",GSM / CDMA / HSPA / EVDO / LTE / 5G,19999000,"Graphite, Gold, Silver, Sierra Blue, Alpine Green"
12,12,2021-09-24,6.10,"iOS 15, upgradable to iOS 15.5",Apple A15 Bionic (5 nm),"6 GB RAM, 128/256/512 GB / 1 TB Memori Internal",3095,"Belakang Quad 12 MP + 12 MP + 12 MP + TOF 3D LiDAR scanner, Depan Dual 12 MP + SL 3D",GSM / CDMA / HSPA / EVDO / LTE / 5G,18499000,"Graphite, Gold, Silver, Sierra Blue, Alpine Green"
13,13,2021-09-24,6.10,"iOS 15, upgradable to iOS 15.5",Apple A15 Bionic (5 nm),"4 GB RAM, 128/256/512 GB Memori Internal",3240,"Belakang Dual 12 MP + 12 MP, Depan Dual 12 MP + SL 3D",GSM / CDMA / HSPA / EVDO / LTE / 5G,14999000,"Starlight, Midnight, Blue, Pink, Red, Green"
14,14,2021-09-24,5.40,"iOS 15, upgradable to iOS 15.5",Apple A15 Bionic (5 nm),"4 GB RAM, 128/256/512 GB Memori Internal",2438,"Belakang Dual 12 MP + 12 MP, Depan Dual 12 MP + SL 3D",GSM / CDMA / HSPA / EVDO / LTE / 5G,12999000,"Starlight, Midnight, Blue, Pink, Red, Green"
15,15,2020-10-23,6.10,"iOS 14.1, upgradable to iOS 15.5",Apple A14 Bionic (5 nm),"4 GB RAM, 64/128/256 GB Memori Internal",2815,"Belakang Dual 12 MP + 12 MP, Depan Dual 12 MP + SL 3D",GSM / CDMA / HSPA / EVDO / LTE / 5G,12999000,"Black, White, Red, Green, Blue, Purple"
